"Texte_Descriptif";"APE_Propose";"APE_DV2";"APE_DV3";"Selection";"Nature_Activites";"CodeRetour_DV2"
"Conception et création d'oeuvres originales au sens de la propriété intellectuelle.";"9012Y";"7740H";"9012Y";;;"SUCCES_ECHO"
"CONCIERGERIE";"9640Y";"9691Y";"9699H";;;"SUCCES_ECHO"
"CONCIERGERIE";"6832H ?";"9691Y";"9699H";;;"SUCCES_ECHO"
"conciergerie Airbnb";"6832H";"9699H";"9699H";;;"SUCCES_ECHO"
"Conciergerie de location saisonniere";"6832H";"9699H";"8110Y";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TOURISME AVEC CHAUFFEUR (VTC)";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TOURISME AVEC CHAUFFEUR (VTC)";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR (VTC)";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR (VTC)";;"4933H";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR (VTC)";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CONDUCTEUR DE VOITURE DE TRANSPORT AVEC CHAUFFEUR (VTC)";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"Confection de bonnets parures de lit et taies d'oreiller.";"1392Y";;"1392Y";;;"ERREUR_HTTP_200"
"conférences, communications, articles, interventions, conseils, recherche, rédaction, cours destinés aux secteurs artistiques et culturels";"9020G";"9039G";"7330Y";;;"SUCCES_ECHO"
"CONFERENCIER";"9020Y";"9020Y";"9699H";;;"SUCCES_ECHO"
"CONFERENCIER";"/";"9020Y";"9699H";;;"SUCCES_ECHO"
"CONSEIL";"NC";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL";"NC";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL";"NC";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";"/";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";"/";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";;"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";"7020Y";"7020Y";"7020Y";1;;"SUCCES_ECHO"
"CONSEIL AUX ENTREPRISES";"RAS";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL EN BATIMENT";"7112Y";"7112Y";"7112Y";;;"SUCCES_ECHO"
"CONSEIL EN BATIMENT";;"7112Y";"7112Y";;;"SUCCES_ECHO"
"CONSEIL EN BATIMENT";"7499Y";"7112Y";"7112Y";;;"SUCCES_ECHO"
"CONSEIL EN BATIMENT";"7499Y";"7112Y";"7112Y";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";1;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"/";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";;"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"RAS";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412H";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE";"7412Y";"7412Y";"6220G";;;"SUCCES_ECHO"
"CONSEIL EN EVENEMENTIEL";"NC";"8230Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL EN EVENEMENTIEL";"8230Y";"8230Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL EN GESTION";;"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL EN GESTION";"7020Y";"7020Y";"7020Y";1;;"SUCCES_ECHO"
"CONSEIL EN IMAGE PERSONNELLE";"9699H";"9699H";"7330Y";;;"SUCCES_ECHO"
"CONSEIL EN IMAGE PERSONNELLE";"9699H";"9699H";"7330Y";;;"SUCCES_ECHO"
"CONSEIL EN IMMOBILIER";"6832H";"6831Y";"6832H";;;"SUCCES_ECHO"
"CONSEIL EN IMMOBILIER";"6832H";"6831Y";"6832H";;;"SUCCES_ECHO"
"CONSEIL EN IMMOBILIER HORS DIAGNOSTIC ET TRANSACTIONS IMMOBILIERES";"6832H";"6831Y";"6831Y";;;"SUCCES_ECHO"
"CONSEIL EN IMMOBILIER HORS DIAGNOSTIC ET TRANSACTIONS IMMOBILIERES";;"6831Y";"6831Y";;;"SUCCES_ECHO"
"CONSEIL EN MANAGEMENT";"7020Y";"7020Y";"7020Y";1;;"SUCCES_ECHO"
"CONSEIL EN MANAGEMENT";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL EN MARKETING";"7020Y";"7020Y";"7020Y";1;;"SUCCES_ECHO"
"CONSEIL EN MARKETING";;"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSEIL EN RELATIONS PUBLIQUES";"7330Y";"7330Y";"7330Y";;;"SUCCES_ECHO"
"CONSEIL EN RELATIONS PUBLIQUES";;"7330Y";"7330Y";;;"SUCCES_ECHO"
"CONSEIL ET EVALUATION EN RAPPORT AVEC L'ACHAT, LA VENTE, LA LOCATION DE BIENS IMMOBILIERS POUR LE COMPTE DE TIERS";"6831Y";"6831Y";"7020Y";1;;"SUCCES_ECHO"
"CONSEIL ET EVALUATION EN RAPPORT AVEC L'ACHAT, LA VENTE, LA LOCATION DE BIENS IMMOBILIERS POUR LE COMPTE DE TIERS";"/";"6831Y";"7020Y";;;"SUCCES_ECHO"
"Conseil marketing et accompagnement stratégique de marques, entreprises, institutions.";"7020Y";"7330Y";"7020Y";1;;"SUCCES_ECHO"
"CONSEILLER DE VIE (ACCOMPAGNEMENT AU CHANGEMENT, COACH )";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"CONSEILLER DE VIE (ACCOMPAGNEMENT AU CHANGEMENT, COACH )";"RAS";"9699H";"9699H";;;"SUCCES_ECHO"
"Conseiller tout individu sur l'aspect sexuel, accompagnement de couples et évènements autour de la question du couple.";"8693Y/8696Y";"7020Y";"8899H";;;"SUCCES_ECHO"
"Conseiller VDI mandataire au sein de Vorwerk France";"4792J";"7020Y";"7020Y";;;"SUCCES_ECHO"
"Conseiller VDI mandataire au sein de Vorwerk France";"4792J";"7020Y";"7020Y";;;"SUCCES_ECHO"
"Conseiller VDI mandataire au sein de Vorwerk France";"4792J";"7020Y";"7020Y";;;"SUCCES_ECHO"
"Conseiller VDI mandataire au sein de Vorwerk France";"4792J";"7020Y";"7020Y";;"Activité de services";"SUCCES_ECHO"
"Conseiller VDI mandataire au sein de Vorwerk france";"4754Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"Conseiller VDI mandataire au sein de Vorwerk France";"4754Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"Conseils et accompagnement des entreprises, dont conseiller la sécurité de transport de marchandises dangereuses et formation afférente";"7499Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"9020Y";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"9020Y";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"/";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"/";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"9020Y";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"NC";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"9011Y/7499Y";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT CONFERENCIER";"9020Y";"9039G";"9020Y";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPAGNEMENT INDIVIDUEL";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPAGNEMENT INDIVIDUEL";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPANEMENT INDIVIDUEL";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPANEMENT INDIVIDUEL";"9699H";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPANEMENT INDIVIDUEL";"9699H";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPANEMENT INDIVIDUEL";"9699H";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPANEMENT INDIVIDUEL";"9699H";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSULTANT EN ACCOMPANEMENT INDIVIDUEL";"RAS";"7020Y";"7020Y";;;"SUCCES_ECHO"
"CONSULTANT EN STRATEGIE";"7020Y";"7020Y";"7020Y";1;;"SUCCES_ECHO"
"CONSULTANT EN STRATEGIE";"/";"7020Y";"7020Y";;;"SUCCES_ECHO"
"Consultations diététiques et nutritionnelles à destination des particuliers";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"Convoyage de véhicules par la route";"4941H";"4941G";"4941G";;;"SUCCES_ECHO"
"CORDISTE";"4399H";"4399H";"9523Y";;;"SUCCES_ECHO"
"CORRECTEUR LECTEUR INDEPENDANT";"8210Y";"8210Y";"5811Y";;;"SUCCES_ECHO"
"CORRECTEUR LECTEUR INDEPENDANT";"RAS";"8210Y";"5811Y";;;"SUCCES_ECHO"
"COURSIER";"5320G";"5320G";;;;"SUCCES_ECHO"
"COURSIER";"5320G";"5320G";;;;"SUCCES_ECHO"
"COURSIER A VELO";"/";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO DE MENUS DE RESTAURANT";"5319H";"5320H";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO DE MENUS DE RESTAURANT";"5320H";"5320H";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO DE MENUS DE RESTAURANTS";;"5320H";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO DE MENUS DE RESTAURANTS";"5320H";"5320H";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO NON MOTORISE";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO NON MOTORISE";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER A VELO.";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER DE REPAS A DOMICILE";"5320H";"5320H";"5320H";;;"SUCCES_ECHO"
"COURSIER DE REPAS A DOMICILE";"/";"5320H";"5320H";;;"SUCCES_ECHO"
"COURSIER EN VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER EN VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER LIVREUR";"/";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER LIVREUR";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURSIER VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"COURTAGE TRAVAUX ET ASSISTANCE  MAITRISE D'OUVRAGE";;"4360Y";"7112Y";;;"SUCCES_ECHO"
"COUTURE";"NC";"1421Y";"1410Y";;;"SUCCES_ECHO"
"COUTURE";"1421Y";"1421Y";"1410Y";;;"SUCCES_ECHO"
"COUVREUR";"4341H";"4341H";"4341H";;;"SUCCES_ECHO"
"COUVREUR";"RAS";"4341H";"4341H";;;"SUCCES_ECHO"
"Créateur de contenu pour des plateformes comme youtube, tiktok, instagram";"5911H";"5813Y";"5813Y";;;"SUCCES_ECHO"
"création artistique céramique";"9013Y";"9013Y";"9012Y";;;"SUCCES_ECHO"
"création artistique relevant 
Des arts plastiques";"9012Y";"9013Y";"9012Y";1;;"SUCCES_ECHO"
"Création d'identités visuelles et de supports de communication pour les entreprises et entrepreneurs. Conception de logos, chartes graphique";"7412Y";"1813Y";"1813Y";;;"SUCCES_ECHO"
"Création d'une auto-entreprise afin d'intervenir en crèche en tant que psychologue vacataire et installer une activité en libéral.";;"8693Y";;;;"SUCCES_ECHO"
"Création de livrets d’activités fait mains";"1723Y";"5811Y";"5811Y";;;"SUCCES_ECHO"
"création de site internet sans programmation (design, ergonomie...)";"7412Y";"6210Y";"6210Y";1;;"SUCCES_ECHO"
"CREATION ET GESTION D’UN CAFE ASSOCIATIF";"5630Y";"5630Y";"5630Y";;;"SUCCES_ECHO"
"Création et gestion de lieux de vie et d'accueil (LVA) afin d'accueillir des enfants confiés par l'aide sociale à l'enfant (ASE), la protect";"8799G";"8799G";"8799G";;;"SUCCES_ECHO"
"création et vente d'un magazine de mode et découverte d'artistes émergeants";"5813Y";"3299Y";"5813Y";;;"SUCCES_ECHO"
"CREATION PLASTIQUE TOUT MEDIUM (DONT INSTALLATIONS, PERFORMANCES, ETC.)";"9012Y";"9012Y";"9012Y";1;;"SUCCES_ECHO"
"CREATION PLASTIQUE TOUT MEDIUM (DONT INSTALLATIONS, PERFORMANCES, ETC.)";"/";"9012Y";"9012Y";;;"SUCCES_ECHO"
"Créations artisanales grâce à du textile, de la peinture, du bois, de la pâte autodurcissante";"1330Y";;;;;"ERREUR_HTTP_200"
"Créations de décoration en macramé";"3299Y";"3299Y";"3299Y";;;"SUCCES_ECHO"
"Créatrice de signalétique pour les évènements";"?";"5819Y";"5813Y";;;"SUCCES_ECHO"
"CREER GERER ANIMER UN PARC DE JEUX";"9321Y";"9321Y";"9329Y";;;"SUCCES_ECHO"
"Culture et vente de productions végétales en agroforesterie : fruits, légumes, céréales, fruits à coques, paille, foin Vente de bois de chauffage et d'oeuvre issus de l'agroforesterie";"?";"0150Y";"0150Y";;;"SUCCES_ECHO"
"DANSE";"Retour déclarant";"8551Y";"8552Y";;;"SUCCES_ECHO"
"DENTISTE";"8623Y";"8623Y";"8623Y";;;"SUCCES_ECHO"
"DENTISTE";"8623Y";"8623Y";"8623Y";;;"SUCCES_ECHO"
"Dépôt de marchandises";"5210H";"4779H";"5224H";;;"SUCCES_ECHO"
"DESIGN GRAPHIQUE";"7412Y";"7412Y";"7412Y";1;;"SUCCES_ECHO"
"DESIGN GRAPHIQUE";"/";"7412Y";"7412Y";;;"SUCCES_ECHO"
"DESIGN GRAPHIQUE";"7412Y";"7412Y";"7412Y";;;"SUCCES_ECHO"
"DESIGN GRAPHIQUE";;"7412Y";"7412Y";;;"SUCCES_ECHO"
"DESIGNER";"NC";"7411Y";"7411Y";;;"SUCCES_ECHO"
"DESIGNER";"7411Y";"7411Y";"7411Y";;;"SUCCES_ECHO"
"DESIGNER GRAPHIQUE";"7412Y";"7412Y";"7412Y";1;;"SUCCES_ECHO"
"DESIGNER GRAPHIQUE";"/";"7412Y";"7412Y";;;"SUCCES_ECHO"
"DESIGNER SANS DROIT D'AUTEUR";"7411Y";"7411Y";"7411Y";;;"SUCCES_ECHO"
"DESIGNER SANS DROIT D'AUTEUR";;"7411Y";"7411Y";;;"SUCCES_ECHO"
"DESSINATEUR PROJETEUR DU BATIMENT";"7111Y";"7112Y";"7111Y";1;;"SUCCES_ECHO"
"DESSINATEUR PROJETEUR DU BATIMENT";"7111Y";"7112Y";"7111Y";;;"SUCCES_ECHO"
"DESSINATEUR PROJETEUR EN ARCHITECTURE";"7112Y";"7112Y";"7112Y";;;"SUCCES_ECHO"
"DESSINATEUR PROJETEUR EN ARCHITECTURE";"7111Y";"7112Y";"7112Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";1;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIEN";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8696Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";;;"SUCCES_ECHO"
"DIETETICIENNE";"8699Y";"8696Y";"8699Y";1;;"SUCCES_ECHO"
"E BUSINESS IMPORT EXPORT DE BIENS ET TECHNOLOGIES";"NC";"4712H";;;;"SUCCES_ECHO"
"E BUSINESS IMPORT EXPORT DE BIENS ET TECHNOLOGIES";"4712H";"4712H";;;;"SUCCES_ECHO"
"E COMMERCE";"4712H";"4791Y";;;;"SUCCES_ECHO"
"E COMMERCE";"NC";"4791Y";;;;"SUCCES_ECHO"
"E COMMERCE";"NC";"4791Y";;;;"SUCCES_ECHO"
"E COMMERCE";"NC";"4791Y";;;;"SUCCES_ECHO"
"E COMMERCE";"4712H";"4791Y";;;;"SUCCES_ECHO"
"E COMMERCE";"4778H";"4791Y";;;;"SUCCES_ECHO"
"E-COMMERCE";"NC";"4791Y";;;;"SUCCES_ECHO"
"E-COMMERCE";"4712H";"4791Y";;;;"SUCCES_ECHO"
"E-commerce de produits de beautés, de mode et autres produits non réglementés.";"4775Y";"4791Y";"4775Y";;;"SUCCES_ECHO"
"E-commerce de produits de beautés, de mode et autres produits non réglementés.";"4775Y";"4791Y";"4775Y";;;"SUCCES_ECHO"
"E-COMMERCE. VENTE DE PRODUITS NON REGLEMENTES.";"NC";"4791Y";"4712H";;;"SUCCES_ECHO"
"E-COMMERCE. VENTE DE PRODUITS NON REGLEMENTES.";"NC";"4791Y";"4712H";;;"SUCCES_ECHO"
"ECRIVAIN INDEPENDANT AUTOEDITE";"9011Y";"9011Y";"9699H";;;"SUCCES_ECHO"
"ECRIVAIN INDEPENDANT AUTOEDITE";"RAS";"9011Y";"9699H";;;"SUCCES_ECHO"
"ECRIVAIN PUBLIC";;"9699H";"9699H";;;"SUCCES_ECHO"
"ECRIVAIN PUBLIC";"9011Y";"9699H";"9699H";;;"SUCCES_ECHO"
"ECRIVAIN PUBLIC";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"ECRIVAIN PUBLIC";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"EDUCATION CANINE";;"9699G";"9699G";;;"SUCCES_ECHO"
"EDUCATION CANINE";"9699G";"9699G";"9699G";1;;"SUCCES_ECHO"
"Élevage bovins avec transformation fromagère à la ferme et vente directe de viande bovine.";"0141Y";"0142Y";"0142Y";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX - CANIN";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX - CANIN";"/";"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX - CHATS";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX - CHATS";"/";"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CANIN";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CANIN";;"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CANINS";;"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CANINS";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CHAT";;"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CHAT";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CHATS";"0148J";"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX : CHATS";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX (CANIN)";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX (CANIN)";"RAS";"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX (CHATS)";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX (CHATS)";"0148J";"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX (FELIN)";;"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX (FELIN)";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX CANIN";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX CANIN";"0148J";"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX CANINS";"0148J";"0148J";"0148J";;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX CANINS";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX CHATS";"0148J";"0148J";"0148J";1;;"SUCCES_ECHO"
"ELEVAGE D'AUTRES ANIMAUX CHATS";;"0148J";"0148J";;;"SUCCES_ECHO"
"Elevage de bovin et équin et exploitation de terre agricole";"0150Y";"0142Y";"0142Y";;;"SUCCES_ECHO"
"ELEVAGE DE LAPINS";"0148J";"0148H";"0148H";;;"SUCCES_ECHO"
"ELEVAGE DE LAPINS";"0148H";"0148H";"0148H";;;"SUCCES_ECHO"
